task,field,llm,human,same_nonempty,llm_missing,human_missing,reviewer_mean,reviewer_count,review_Haining,review_Will,review_Yasaman
Simplify the Hamiltonian in the particle-hole basis,definition_of_variables,"$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$, and $\hat{\mathcal{H}}_0$ is defined as $\hat{\mathcal{H}}_0 = \sum_\tau\Tr h^{(\tau)}-\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} [h^{(\tau)}]^{\intercal}_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}} b_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger b_{\bm{k}_{\beta},l_{\beta},\tau}$","$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$",0,0,0,1.6666666666666667,3,1,2,2
Simplify the Hamiltonian in the particle-hole basis,expression_hole_Ham,,"$\hat{H}^{0} = \sum_{\tau, l_1, l_2, k_1, k_2} b_{\tau, l_1}(k_1) H^{0}_{\tau, l_1, \tau, l_2}(k_1, k_2) b_{\tau, l_2}^\dagger(k_2)$",0,1,0,,0,,,
Construct interaction Hamiltonian (momentum space),second_int_symbol,$\hat{\mathcal{H}}_{\text{int}}$,,0,0,1,2.0,3,2,2,2
Construct interaction Hamiltonian (momentum space),index_of_operator,,the valley index and layer index,0,1,0,0.0,3,0,0,0
Construct interaction Hamiltonian (momentum space),momentum,,momentum,0,1,0,0.0,3,0,0,0
Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",False,,0,0,1,2.0,2,2,(?),2
Construct interaction Hamiltonian (momentum space),interaction,dual-gate screened Coulomb,,0,0,1,2.0,3,2,2,2
Construct interaction Hamiltonian (momentum space),int_form,2\pi e^2\tanh(|\bm{k}|d)/(\epsilon |\bm{k}|),,0,0,1,2.0,3,2,2,2
Construct interaction Hamiltonian (momentum space),normalization_factor,$\frac{1}{2A}$,,0,0,1,2.0,3,2,2,2
Construct interaction Hamiltonian (momentum space),op,"$b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger$, $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger$, $b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$, $b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$",,0,0,1,2.0,2,2,(?),2
Construct interaction Hamiltonian (momentum space),definition_of_variables,"$\bm{k}_{\alpha},\bm{k}_{\beta},\bm{k}_{\gamma},\bm{k}_{\delta}$ are the momenta, $l_{\alpha},l_{\beta}$ are the indices of operators, $\tau_{\alpha},\tau_{\beta}$ are the spin indices, $V(\bm{k})$ is the dual-gate screened Coulomb interaction, $d$ is the sample-to-gate distance, and $\epsilon$ is the dielectric constant.",,0,0,1,2.0,3,2,2,2
Wick's theorem,second_int_symbol,$\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$,,0,0,1,2.0,3,2,2,2
Wick's theorem,Hartree_Fock_symbol,$\hat{\mathcal{H}}^{\text{HF}}$,,0,0,1,2.0,3,2,2,2
Wick's theorem,definition_of_variables,"$\hat{\mathcal{H}}^{\text{HF}}$ is the Hartree-Fock Hamiltonian, $\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$ is the interaction term in the Hartree-Fock Hamiltonian, $\bm{k}_{\alpha},\bm{k}_{\beta},\bm{k}_{\gamma},\bm{k}_{\delta}$ are the momentum vectors, $l_{\alpha},l_{\beta}$ are the orbital quantum numbers, $\tau_{\alpha},\tau_{\beta}$ are the spin quantum numbers, $V(\bm{k}_{\alpha}-\bm{k}_{\delta})$ is the interaction potential, $b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger$ and $b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$ are the creation and annihilation operators, and $\langle{...}\rangle$ denotes the expectation value.",,0,0,1,2.0,3,2,2,2
Wick's theorem,expression_int,,"$\hat{H}^{int} = \frac{1}{2V}\sum_{\tau_1,\tau_2,l_1,l_2,k_1,k_2,k_3,k_4} b_{l_1,\tau_1}^\dagger(k_1)b_{l_2,\tau_2}^\dagger(k_2)b_{l_2,\tau_2}(k_3)b_{l_1,\tau_1}(k_4) V(|k_1-k_4|)\delta_{k_1+k_2,k_3+k_4}$",0,1,0,,0,,,
Extract quadratic term,Hartree_Fock_term_symbol,"Hartree-Fock term symbol, denoted as $\hat{\mathcal{H}}^{\text{HF}}$",,0,0,1,2.0,3,2,2,2
Extract quadratic term,bilinear_op,"$b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$ and $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$",,0,0,1,2.0,3,2,2,2
Extract quadratic term,Hartree_Fock_second_quantized_symbol,$\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$,,0,0,1,2.0,3,2,2,2
Extract quadratic term,definition_of_variables,"$\hat{\mathcal{H}}^{\text{HF}}$ is the Hartree-Fock term symbol, $\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$ is the Hartree-Fock second quantized symbol, and $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$ and $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$ are the bilinear operators.",,0,0,1,2.0,3,2,2,2
Extract quadratic term,expression_HF,,"$\hat{H}^{int,HF}=\frac{1}{2V}\sum_{\tau_1,\tau_2,l_1,l_2,k_1,k_2,k_3,k_4} \left[\langle b_{l_1,\tau_1}^\dagger(k_1) b_{l_1,\tau_1}(k_4) \rangle b_{l_2,\tau_2}^\dagger(k_2) b_{l_2,\tau_2}(k_3) + \langle b_{l_2,\tau_2}^\dagger(k_2) b_{l_2,\tau_2}(k_3) \rangle b_{l_1,\tau_1}^\dagger(k_1) b_{l_1,\tau_1}(k_4)-\langle b_{l_1,\tau_1}^\dagger(k_1) b_{l_1,\tau_1}(k_4) \rangle \langle b_{l_2,\tau_2}^\dagger(k_2) b_{l_2,\tau_2}(k_3) \rangle - \langle b_{l_1,\tau_1}^\dagger(k_1) b_{l_2,\tau_2}(k_3) \rangle b_{l_2,\tau_2}^\dagger(k_2) b_{l_1,\tau_1}(k_4) - \langle b_{l_2,\tau_2}^\dagger(k_2) b_{l_1,\tau_1}(k_4) \rangle b_{l_1,\tau_1}^\dagger(k_1) b_{l_2,\tau_2}(k_3) + \langle b_{l_1,\tau_1}^\dagger(k_1) b_{l_2,\tau_2}(k_3) \rangle \langle b_{l_2,\tau_2}^\dagger(k_2) b_{l_1,\tau_1}(k_4) \rangle\right] V(|k_1-k_4|)\delta_{k_1+k_2,k_3+k_4}$",0,1,0,,0,,,
Swap the index to combine Hartree and Fock terms,Hartree_Fock_second_quantized_symbol,$\hat{\mathcal{H}}^{\text{HF}}$,,0,0,1,2.0,3,2,2,2
Swap the index to combine Hartree and Fock terms,expected_value,"$\langle{b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}}\rangle$ and $\langle{b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}}\rangle$",,0,0,1,2.0,2,2,(?),2
Swap the index to combine Hartree and Fock terms,expression_Hartree_1,"$b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$","$`\langle b_{\tau_1,l_1}^\dagger(k_1) b_{\tau_1,l_1}(k_4) \rangle b_{\tau_2,l_2}^\dagger(k_2) b_{\tau_2,l_2}(k_3)`$",0,0,0,1.0,2,1,(?),1
Swap the index to combine Hartree and Fock terms,expression_Hartree_2,"$b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$","$`\langle b_{\tau_2,l_2}^\dagger(k_2) b_{\tau_2,l_2}(k_3) \rangle b_{\tau_1,l_1}^\dagger(k_1) b_{\tau_1,l_1}(k_4)`$",0,0,0,1.0,2,1,(?),1
Swap the index to combine Hartree and Fock terms,expression_HF_2,,"$\hat{H}^{int,HF,2}=\frac{1}{2V}\sum_{\tau_1,\tau_2,l_1,l_2,k_1,k_2,k_3,k_4} \left[\langle b_{l_1,\tau_1}^\dagger(k_1) b_{l_1,\tau_1}(k_4) \rangle b_{l_2,\tau_2}^\dagger(k_2) b_{l_2,\tau_2}(k_3) + \langle b_{l_2,\tau_2}^\dagger(k_2) b_{l_2,\tau_2}(k_3) \rangle b_{l_1,\tau_1}^\dagger(k_1) b_{l_1,\tau_1}(k_4) - \langle b_{l_1,\tau_1}^\dagger(k_1) b_{l_2,\tau_2}(k_3) \rangle b_{l_2,\tau_2}^\dagger(k_2) b_{l_1,\tau_1}(k_4) - \langle b_{l_2,\tau_2}^\dagger(k_2) b_{l_1,\tau_1}(k_4) \rangle b_{l_1,\tau_1}^\dagger(k_1) b_{l_2,\tau_2}(k_3)\right] V(|k_1-k_4|)\delta_{k_1+k_2,k_3+k_4}$",0,1,0,,0,,,
Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),Hartree_second_quantized_symbol,,$H_{\text{Hartree}}$,0,1,0,,0,,,
Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),expected_value,,"$\langle b_{l_1,\tau_1,q_1}^\dagger(k_1) b_{l_1,\tau_1,q_4}(k_4) \rangle$",0,1,0,,0,,,
Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),expected_value_nonzero,,"$\langle b_{l_1,\tau_1,q_1}^\dagger(k_1) b_{l_1,\tau_1,q_4}(k_4) \rangle = \langle b_{l_1,\tau_1,q_1}^\dagger(k_1) b_{l_1,\tau_1,q_4}(k_4) \rangle \delta_{k_1,k_4}$",0,1,0,,0,,,
Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),expression_Hartree,,"$\hat{\mathcal{H}}^{\text{HF}} = \frac{1}{V}\sum_{\tau_1,\tau_2,l_1,l_2,k_1,k_2,k_3,k_4,q_1,q_2,q_3,q_4} \langle b_{l_1,\tau_1,q_1}^\dagger(k_1) b_{l_1,\tau_1,q_4}(k_4) \rangle b_{l_2,\tau_2,q_2}^\dagger(k_2) b_{l_2,\tau_2,q_3}(k_3)  V(|k_1+q_1-k_4-q_4|)\delta_{k_1+k_2+q_1+q_2,k_3+k_4+q_3+q_4}$.",0,1,0,,0,,,
Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),Fock_second_quantized_symbol,,$H_{\text{Fock}}$,0,1,0,,0,,,
Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),expected_value,,"$\langle b_{l_1,\tau_1,q_1}^\dagger(k_1) b_{l_2,\tau_2,q_3}(k_3) \rangle$",0,1,0,,0,,,
